industry,industry_name,employees,total_monthly,regular_monthly,total_hours,regular_hours,year,table_group,tsic_version,regime,employment_share,regular_hourly,total_hourly,real_regular_monthly,real_total_monthly,real_regular_hourly,real_total_hourly,cpi_2024_100
快遞服務業,快遞服務業,11755.0000000000,55927.0000000000,47069.0000000000,173.1000000000,164.1000000000,2016,7,10,tsic10_2016_2020,0.0015780157,286.8312004875,323.0906990179,52940.1445213339,62903.0457975449,322.6090464432,363.3913679812,88.9098441751
汽車貨運業,汽車貨運業,76102.0000000000,34783.0000000000,30420.0000000000,176.3000000000,166.3000000000,2016,7,10,tsic10_2016_2020,0.0102160908,182.9224293446,197.2943845718,34214.4340508398,39121.6521890322,205.7392306124,221.9038694783,88.9098441751
海洋水運業,海洋水運業,7269.0000000000,82784.0000000000,72465.0000000000,162.6000000000,157.2000000000,2016,7,10,tsic10_2016_2020,0.0009758057,460.9732824427,509.1266912669,81503.9107000035,93110.0495879264,518.4727143766,572.6325312911,88.9098441751
港埠業,港埠業,2522.0000000000,90354.0000000000,62258.0000000000,158.1000000000,153.8000000000,2016,7,10,tsic10_2016_2020,0.0003385585,404.7984395319,571.4990512334,70023.7421149633,101624.2923809855,455.2909110206,642.7848980454,88.9098441751
航空運輸業,航空運輸業,23795.0000000000,90671.0000000000,66862.0000000000,168.1000000000,163.9000000000,2016,7,10,tsic10_2016_2020,0.0031942903,407.9438682123,539.3872694825,75202.0213513232,101980.8333275376,458.8286842668,606.6676581055,88.9098441751
郵政業,郵政業,26421.0000000000,76860.0000000000,52473.0000000000,161.7000000000,160.6000000000,2016,7,10,tsic10_2016_2020,0.0035468100,326.7310087173,475.3246753247,59018.2116354279,86447.1203533053,367.4857511546,534.6142260563,88.9098441751
鐵路大眾捷運系統運輸業,鐵路大眾捷運系統運輸業,25050.0000000000,64949.0000000000,46783.0000000000,171.2000000000,160.9000000000,2016,7,10,tsic10_2016_2020,0.0033627641,290.7582349285,379.3750000000,52618.4703550440,73050.4035886914,327.0259189251,426.6962826442,88.9098441751
住宿服務業,住宿服務業,71471.0000000000,35955.0000000000,32687.0000000000,166.1000000000,164.8000000000,2016,8,10,tsic10_2016_2020,0.0095944157,198.3434466019,216.4659843468,36764.2079493689,40439.8414299127,223.0837861005,243.4668358213,88.9098441751
其他餐飲業,其他餐飲業,69227.0000000000,38308.0000000000,33770.0000000000,162.8000000000,157.5000000000,2016,8,10,tsic10_2016_2020,0.0092931765,214.4126984127,235.3071253071,37982.2957888514,43086.3425252982,241.1574335800,264.6581236198,88.9098441751
餐館業,餐館業,262652.0000000000,30217.0000000000,26982.0000000000,162.9000000000,159.6000000000,2016,8,10,tsic10_2016_2020,0.0352589510,169.0601503759,185.4941682014,30347.5956462774,33986.1128768648,190.1478423952,208.6317549224,88.9098441751
傳播及節目播送業,傳播及節目播送業,23795.0000000000,49621.0000000000,41664.0000000000,165.4000000000,158.4000000000,2016,9,10,tsic10_2016_2020,0.0031942903,263.0303030303,300.0060459492,46860.9526723928,55810.4678513058,295.8393476792,337.4272542401,88.9098441751
出版業,出版業,32385.0000000000,55243.0000000000,49952.0000000000,159.0000000000,157.4000000000,2016,9,10,tsic10_2016_2020,0.0043474298,317.3570520966,347.4402515723,56182.7550857183,62133.7271620823,356.9425354874,390.7781582521,88.9098441751
影片服務聲音錄製及音樂出版業,影片服務、聲音錄製及音樂出版業,17856.0000000000,40123.0000000000,36199.0000000000,158.4000000000,157.0000000000,2016,9,10,tsic10_2016_2020,0.0023970266,230.5668789809,253.3017676768,40714.2767326216,45127.7362729075,259.3266033925,284.8973249552,88.9098441751
資料處理及資訊供應服務業,資料處理及資訊供應服務業,16587.0000000000,66569.0000000000,59735.0000000000,160.4000000000,159.5000000000,2016,9,10,tsic10_2016_2020,0.0022266734,374.5141065831,415.0187032419,67186.0360955593,74872.4740411030,421.2290664298,466.7859977625,88.9098441751
電信業,電信業,42713.0000000000,104818.0000000000,65811.0000000000,161.8000000000,157.5000000000,2016,9,10,tsic10_2016_2020,0.0057338820,417.8476190476,647.8244746601,74019.9250269500,117892.4572104183,469.9677779489,728.6307614983,88.9098441751
電腦系統設計服務業,電腦系統設計服務業,66363.0000000000,64100.0000000000,56597.0000000000,161.3000000000,159.6000000000,2016,9,10,tsic10_2016_2020,0.0089087072,354.6177944862,397.3961562306,63656.6181451473,72095.5037034461,398.8509908844,446.9653050431,88.9098441751
不動產經營及相關服務業,不動產經營及相關服務業,70740.0000000000,35797.0000000000,29751.0000000000,171.6000000000,170.4000000000,2016,10,10,tsic10_2016_2020,0.0094962848,174.5950704225,208.6072261072,33461.9864380846,40262.1333240602,196.3731598479,234.6278165738,88.9098441751
不動產開發業,不動產開發業,45062.0000000000,50038.0000000000,43511.0000000000,163.7000000000,162.1000000000,2016,10,10,tsic10_2016_2020,0.0060492166,268.4207279457,305.6689065363,48938.3379351114,56279.4822825747,301.9021464226,343.7964708771,88.9098441751
人身保險業,人身保險業,110098.0000000000,76375.0000000000,60899.0000000000,161.0000000000,159.8000000000,2016,10,10,tsic10_2016_2020,0.0147797846,381.0951188986,474.3788819876,68495.2274576625,85901.6239524290,428.6309603108,533.5504593319,88.9098441751
信用合作社業,信用合作社業,3905.0000000000,72058.0000000000,46671.0000000000,162.8000000000,161.7000000000,2016,10,10,tsic10_2016_2020,0.0005242153,288.6270871985,442.6167076167,52492.5000521612,81046.1436172063,324.6289428087,497.8264349951,88.9098441751
其他保險及退休基金輔助業,其他保險及退休基金輔助業,457.0000000000,101836.0000000000,83356.0000000000,166.0000000000,163.1000000000,2016,10,10,tsic10_2016_2020,0.0000613486,511.0729613734,613.4698795181,93753.3979205063,114538.4978961644,574.8215691018,689.9909511817,88.9098441751
其他金融中介業,其他金融中介業,36783.0000000000,94279.0000000000,57688.0000000000,157.8000000000,156.2000000000,2016,10,10,tsic10_2016_2020,0.0049378265,369.3213828425,597.4588086185,64883.7038634072,106038.8766561185,415.3886290871,671.9827418005,88.9098441751
證券期貨及其他金融業,證券期貨及其他金融業,52545.0000000000,75043.0000000000,56827.0000000000,161.2000000000,160.2000000000,2016,10,10,tsic10_2016_2020,0.0070537501,354.7253433208,465.5272952854,63915.3071599958,84403.4771360017,398.9719548065,523.5947713151,88.9098441751
財產保險業,財產保險業,15677.0000000000,63095.0000000000,46242.0000000000,161.6000000000,160.0000000000,2016,10,10,tsic10_2016_2020,0.0021045131,289.0125000000,390.4393564356,52009.9888027263,70965.1451820426,325.0624300170,439.1407498889,88.9098441751
農會漁會信用部,農會、漁會信用部,10774.0000000000,62303.0000000000,48823.0000000000,163.8000000000,163.2000000000,2016,10,10,tsic10_2016_2020,0.0014463242,299.1605392157,380.3601953602,54912.9294432660,70074.3551830859,336.4762833533,427.8043661971,88.9098441751
銀行業,銀行業,147240.0000000000,98037.0000000000,64427.0000000000,165.9000000000,159.7000000000,2016,10,10,tsic10_2016_2020,0.0197658040,403.4251721979,590.9403254973,72463.2919984699,110265.6302117745,453.7463493956,664.6511766834,88.9098441751
企業總管理機構及管理顧問業,企業總管理機構及管理顧問業,83509.0000000000,57831.0000000000,48681.0000000000,166.3000000000,162.1000000000,2016,11,10,tsic10_2016_2020,0.0112104219,300.3146206046,347.7510523151,54753.2170949682,65044.5409465521,337.7743189079,391.1277266780,88.9098441751
其他專業科學及技術服務業,其他專業、科學及技術服務業,19328.0000000000,48154.0000000000,43522.0000000000,166.5000000000,165.7000000000,2016,11,10,tsic10_2016_2020,0.0025946309,262.6554013277,289.2132132132,48950.7100184303,54160.4818305108,295.4176826701,325.2881791622,88.9098441751
專門設計服務業,專門設計服務業,24816.0000000000,71802.0000000000,62654.0000000000,165.5000000000,162.7000000000,2016,11,10,tsic10_2016_2020,0.0033313515,385.0891210817,433.8489425982,70469.1371144417,80758.2114963313,433.1231537458,487.9650241470,88.9098441751
廣告業及市場研究業,廣告業及市場研究業,43945.0000000000,52447.0000000000,47993.0000000000,162.7000000000,161.7000000000,2016,11,10,tsic10_2016_2020,0.0058992682,296.8027210884,322.3540258144,53979.3995201168,58988.9685294015,333.8243631423,362.5628059582,88.9098441751
建築工程服務及技術檢測,建築、工程服務及技術檢測,52552.0000000000,63212.0000000000,53170.0000000000,164.7000000000,158.8000000000,2016,11,10,tsic10_2016_2020,0.0070546898,334.8236775819,383.8008500304,59802.1518239037,71096.7391591613,376.5878578331,431.6741904017,88.9098441751
會計服務業,會計服務業,23453.0000000000,58398.0000000000,47863.0000000000,169.6000000000,158.4000000000,2016,11,10,tsic10_2016_2020,0.0031483795,302.1654040404,344.3278301887,53833.1839899850,65682.2656048962,339.8559595327,387.2775094628,88.9098441751
法律服務業,法律服務業,10317.0000000000,58518.0000000000,46614.0000000000,162.2000000000,157.7000000000,2016,11,10,tsic10_2016_2020,0.0013849755,295.5865567533,360.7768187423,52428.3901658727,65817.2337865563,332.4565007348,405.7782600897,88.9098441751
人力仲介業,人力仲介業,21994.0000000000,38048.0000000000,33835.0000000000,165.5000000000,162.1000000000,2016,12,10,tsic10_2016_2020,0.0029525203,208.7291795188,229.8972809668,38055.4035539173,42793.9114650346,234.7649818255,258.5734831724,88.9098441751
人力供應業,人力供應業,111624.0000000000,37577.0000000000,33903.0000000000,169.0000000000,159.9000000000,2016,12,10,tsic10_2016_2020,0.0149846380,212.0262664165,222.3491124260,38131.8855235247,42264.1613520186,238.4733303535,250.0837949824,88.9098441751
保全及私家偵探服務業,保全及私家偵探服務業,92633.0000000000,32300.0000000000,28920.0000000000,217.6000000000,199.9000000000,2016,12,10,tsic10_2016_2020,0.0124352467,144.6723361681,148.4375000000,32527.3317800883,36328.9355635150,162.7180179094,166.9528288764,88.9098441751
其他教育及教育輔助服務業,其他教育及教育輔助服務業,73560.0000000000,24873.0000000000,23342.0000000000,132.7000000000,131.9000000000,2016,12,10,tsic10_2016_2020,0.0098748475,176.9673995451,187.4378296910,26253.5608025872,27975.5298536009,199.0414010810,210.8178587310,88.9098441751
建築物及綠化服務業,建築物及綠化服務業,58345.0000000000,30847.0000000000,28582.0000000000,173.9000000000,166.7000000000,2016,12,10,tsic10_2016_2020,0.0078323542,171.4577084583,177.3835537665,32147.1714017457,34694.6958305804,192.8444595186,199.5094642357,88.9098441751
旅行及相關代訂服務業,旅行及相關代訂服務業,29323.0000000000,42840.0000000000,38155.0000000000,159.8000000000,159.5000000000,2016,12,10,tsic10_2016_2020,0.0039363805,239.2163009404,268.0851063830,42914.2580936815,48183.6408526620,269.0549096783,301.5246611556,88.9098441751
業務及辦公室支援服務業,業務及辦公室支援服務業,15691.0000000000,47149.0000000000,39076.0000000000,164.7000000000,162.1000000000,2016,12,10,tsic10_2016_2020,0.0021063925,241.0610734115,286.2720097146,43950.1388879229,53030.1233091074,271.1297895615,321.9801050948,88.9098441751
租賃業,租賃業,14902.0000000000,39686.0000000000,33365.0000000000,167.1000000000,163.7000000000,2016,12,10,tsic10_2016_2020,0.0020004755,203.8179596823,237.4985038899,37526.7781757485,44636.2271446952,229.2411617333,267.1228434751,88.9098441751
創作及藝術表演業,創作及藝術表演業,8024.0000000000,39645.0000000000,36044.0000000000,156.3000000000,155.0000000000,2016,13,10,tsic10_2016_2020,0.0010771585,232.5419354839,253.6468330134,40539.9428313106,44590.1130159613,261.5480182665,285.2854319639,88.9098441751
運動娛樂及休閒服務業,運動、娛樂及休閒服務業,48786.0000000000,36341.0000000000,33955.0000000000,171.8000000000,169.5000000000,2016,13,10,tsic10_2016_2020,0.0065491341,200.3244837758,211.5308498254,38190.3717355774,40873.9890809194,225.3119276435,237.9161180496,88.9098441751
醫療保健服務業,醫療保健服務業,342756.0000000000,65239.0000000000,53430.0000000000,166.2000000000,161.9000000000,2016,13,10,tsic10_2016_2020,0.0460122786,330.0185299568,392.5330926594,60094.5828841673,73376.5766943701,371.1833408534,441.4956479806,88.9098441751
個人及家庭用品維修業,個人及家庭用品維修業,37957.0000000000,38364.0000000000,31421.0000000000,174.4000000000,170.5000000000,2016,14,10,tsic10_2016_2020,0.0050954267,184.2873900293,219.9770642202,35340.2936328546,43149.3276767396,207.2744494596,247.4158697061,88.9098441751
其他個人服務業,其他個人服務業,21709.0000000000,35029.0000000000,30855.0000000000,182.2000000000,178.2000000000,2016,14,10,tsic10_2016_2020,0.0029142613,173.1481481481,192.2557628979,34703.6937093577,39398.3369614355,194.7457559448,216.2367561001,88.9098441751
美髮及美容美體業,美髮及美容美體業,27395.0000000000,27601.0000000000,26253.0000000000,195.6000000000,194.5000000000,2016,14,10,tsic10_2016_2020,0.0036775618,134.9768637532,141.1094069530,29527.6639426922,31043.8065166742,151.8131822246,158.7106672632,88.9098441751
石油及天然氣礦業,石油及天然氣礦業,1448.0000000000,89775.0000000000,60683.0000000000,172.7000000000,163.2000000000,2017,1,10,tsic10_2016_2020,0.0001915359,371.8321078431,519.8320787493,67830.6576466827,100349.3118374329,415.6290296978,581.0614466557,89.4624969082
砂石及黏土採取業,砂、石及黏土採取業,2217.0000000000,34441.0000000000,31410.0000000000,168.5000000000,165.1000000000,2017,1,10,tsic10_2016_2020,0.0002932562,190.2483343428,204.3976261128,35109.6840413675,38497.6958952161,212.6570808078,228.4729726719,89.4624969082
其他製造業,其他製造業,81232.0000000000,40759.0000000000,33787.0000000000,172.5000000000,160.5000000000,2017,2,10,tsic10_2016_2020,0.0107450560,210.5109034268,236.2840579710,37766.6633144121,45559.8730290385,235.3063134854,264.1152059654,89.4624969082
其他運輸工具及其零件製造業,其他運輸工具及其零件製造業,72425.0000000000,48041.0000000000,38321.0000000000,175.3000000000,159.5000000000,2017,2,10,tsic10_2016_2020,0.0095801000,240.2570532915,274.0501996577,42834.7087599250,53699.5966581132,268.5561677738,306.3297014154,89.4624969082
化學材料製造業,化學材料製造業,62149.0000000000,71096.0000000000,50350.0000000000,172.9000000000,161.4000000000,2017,2,10,tsic10_2016_2020,0.0082208303,311.9578686493,411.1972238288,56280.5664273433,79470.1718116862,348.7023942215,459.6308375459,89.4624969082
化學製品製造業,化學製品製造業,48809.0000000000,54011.0000000000,44994.0000000000,171.0000000000,160.8000000000,2017,2,10,tsic10_2016_2020,0.0064562665,279.8134328358,315.8538011696,50293.7002151318,60372.7839782967,312.7717675070,353.0572162473,89.4624969082
印刷及資料儲存媒體複製業,印刷及資料儲存媒體複製業,64292.0000000000,37861.0000000000,31179.0000000000,175.7000000000,162.1000000000,2017,2,10,tsic10_2016_2020,0.0085042980,192.3442319556,215.4866249289,34851.4752857624,42320.5268223564,214.9998475371,240.8681094044,89.4624969082
基本金屬製造業,基本金屬製造業,112320.0000000000,55964.0000000000,40183.0000000000,180.0000000000,162.1000000000,2017,2,10,tsic10_2016_2020,0.0148572568,247.8901912400,310.9111111111,44916.0278202569,62555.8216393216,277.0883887739,347.5323424407,89.4624969082
塑膠製品製造業,塑膠製品製造業,138019.0000000000,40213.0000000000,33390.0000000000,172.6000000000,160.6000000000,2017,2,10,tsic10_2016_2020,0.0182566215,207.9078455791,232.9837775203,37322.9019465540,44949.5614248810,232.3966497295,260.4261959727,89.4624969082
家具製造業,家具製造業,24768.0000000000,31767.0000000000,27811.0000000000,167.2000000000,158.6000000000,2017,2,10,tsic10_2016_2020,0.0032762156,175.3530895334,189.9940191388,31086.7692733038,35508.7339363936,196.0073724672,212.3728106244,89.4624969082
