frequency,composition,start_value_2024_twd,end_value_2024_twd,level_change_2024_twd,log_growth_percent
monthly,regular,44647.2043484172,46754.0993924304,2106.8950440133,4.6110246644
monthly,total,55050.7876195068,61518.6717416573,6467.8841221505,11.1084563875
hourly,regular,248.6434581869,290.5005497799,41.8570915931,15.5585493328
hourly,total,291.7993139341,362.9053003684,71.1059864343,21.8075634767
