row_type,year,industry_code,industry,employees,employment_share_common,normal_hours,overtime_hours,normal_pretrend_annual_change_2000_2016,normal_reform_window_annual_change_2016_2019,overtime_pretrend_annual_change_2000_2016,overtime_reform_window_annual_change_2016_2019,normal_change_vs_pretrend,overtime_change_vs_pretrend,part_time_series_requested_period,part_time_series_consistent_coverage,part_time_series_used,part_time_series_reason
annual_industry_path,2003.0000000000,B,mining,7120.0000000000,0.0012306937,181.2000000000,4.3000000000,,,,,,,,,,
annual_industry_path,2003.0000000000,C,manufacturing,2372732.0000000000,0.4101272956,171.4000000000,16.8000000000,,,,,,,,,,
annual_industry_path,2003.0000000000,D,electricity_gas,28414.0000000000,0.0049113667,166.7000000000,4.7000000000,,,,,,,,,,
annual_industry_path,2003.0000000000,E,water_waste,21133.0000000000,0.0036528441,178.1000000000,3.6000000000,,,,,,,,,,
annual_industry_path,2003.0000000000,F,construction,378969.0000000000,0.0655048826,169.5000000000,6.1000000000,,,,,,,,,,
annual_industry_path,2003.0000000000,G,wholesale_retail,1373832.0000000000,0.2374671909,173.2000000000,2.8000000000,,,,,,,,,,
annual_industry_path,2003.0000000000,H,transportation_storage,259721.0000000000,0.0448928372,172.7000000000,6.5000000000,,,,,,,,,,
annual_industry_path,2003.0000000000,I,accommodation_food,161598.0000000000,0.0279322531,175.5000000000,1.5000000000,,,,,,,,,,
annual_industry_path,2003.0000000000,J,information_communication,156404.0000000000,0.0270344689,165.9000000000,2.8000000000,,,,,,,,,,
annual_industry_path,2003.0000000000,K,finance_insurance,349189.0000000000,0.0603574024,164.5000000000,4.2000000000,,,,,,,,,,
annual_industry_path,2003.0000000000,L,real_estate,58520.0000000000,0.0101151960,174.6000000000,3.5000000000,,,,,,,,,,
annual_industry_path,2003.0000000000,M,professional_scientific,157319.0000000000,0.0271926269,171.0000000000,5.4000000000,,,,,,,,,,
annual_industry_path,2003.0000000000,N,support_services,142753.0000000000,0.0246748903,181.0000000000,8.2000000000,,,,,,,,,,
annual_industry_path,2003.0000000000,Q,health_social,201368.0000000000,0.0348065071,173.5000000000,3.5000000000,,,,,,,,,,
annual_industry_path,2003.0000000000,R,arts_recreation,34265.0000000000,0.0059227135,186.7000000000,1.9000000000,,,,,,,,,,
annual_industry_path,2003.0000000000,S,other_services,82018.0000000000,0.0141768310,195.5000000000,1.8000000000,,,,,,,,,,
annual_industry_path,2004.0000000000,B,mining,6515.0000000000,0.0010811688,180.7000000000,3.6000000000,,,,,,,,,,
annual_industry_path,2004.0000000000,C,manufacturing,2461357.0000000000,0.4084639172,172.7000000000,17.9000000000,,,,,,,,,,
annual_industry_path,2004.0000000000,D,electricity_gas,27894.0000000000,0.0046290288,167.8000000000,4.4000000000,,,,,,,,,,
annual_industry_path,2004.0000000000,E,water_waste,21541.0000000000,0.0035747440,178.1000000000,4.8000000000,,,,,,,,,,
annual_industry_path,2004.0000000000,F,construction,383584.0000000000,0.0636560333,171.4000000000,5.9000000000,,,,,,,,,,
annual_industry_path,2004.0000000000,G,wholesale_retail,1409036.0000000000,0.2338305106,175.8000000000,4.3000000000,,,,,,,,,,
annual_industry_path,2004.0000000000,H,transportation_storage,260851.0000000000,0.0432884061,175.9000000000,6.6000000000,,,,,,,,,,
annual_industry_path,2004.0000000000,I,accommodation_food,189173.0000000000,0.0313933918,168.1000000000,1.1000000000,,,,,,,,,,
annual_industry_path,2004.0000000000,J,information_communication,160791.0000000000,0.0266833790,166.6000000000,2.8000000000,,,,,,,,,,
annual_industry_path,2004.0000000000,K,finance_insurance,359774.0000000000,0.0597047472,165.0000000000,4.1000000000,,,,,,,,,,
annual_industry_path,2004.0000000000,L,real_estate,63853.0000000000,0.0105964500,182.2000000000,3.2000000000,,,,,,,,,,
annual_industry_path,2004.0000000000,M,professional_scientific,168152.0000000000,0.0279049421,172.1000000000,6.2000000000,,,,,,,,,,
annual_industry_path,2004.0000000000,N,support_services,168261.0000000000,0.0279230307,182.2000000000,8.3000000000,,,,,,,,,,
annual_industry_path,2004.0000000000,Q,health_social,217712.0000000000,0.0361294588,173.0000000000,3.3000000000,,,,,,,,,,
annual_industry_path,2004.0000000000,R,arts_recreation,40515.0000000000,0.0067234926,181.3000000000,3.9000000000,,,,,,,,,,
annual_industry_path,2004.0000000000,S,other_services,86877.0000000000,0.0144172990,197.7000000000,2.2000000000,,,,,,,,,,
annual_industry_path,2005.0000000000,B,mining,5806.0000000000,0.0009362841,176.6000000000,4.4000000000,,,,,,,,,,
annual_industry_path,2005.0000000000,C,manufacturing,2479470.0000000000,0.3998429958,171.5000000000,17.3000000000,,,,,,,,,,
annual_industry_path,2005.0000000000,D,electricity_gas,27446.0000000000,0.0044259825,166.7000000000,4.4000000000,,,,,,,,,,
annual_industry_path,2005.0000000000,E,water_waste,20975.0000000000,0.0033824595,176.6000000000,7.9000000000,,,,,,,,,,
annual_industry_path,2005.0000000000,F,construction,399519.0000000000,0.0644270243,172.7000000000,5.0000000000,,,,,,,,,,
annual_industry_path,2005.0000000000,G,wholesale_retail,1455376.0000000000,0.2346960842,173.5000000000,4.1000000000,,,,,,,,,,
annual_industry_path,2005.0000000000,H,transportation_storage,259756.0000000000,0.0418886364,173.7000000000,7.1000000000,,,,,,,,,,
annual_industry_path,2005.0000000000,I,accommodation_food,212766.0000000000,0.0343109595,172.6000000000,1.4000000000,,,,,,,,,,
annual_industry_path,2005.0000000000,J,information_communication,165338.0000000000,0.0266626502,165.3000000000,3.2000000000,,,,,,,,,,
annual_industry_path,2005.0000000000,K,finance_insurance,369110.0000000000,0.0595232240,164.2000000000,3.8000000000,,,,,,,,,,
annual_industry_path,2005.0000000000,L,real_estate,70602.0000000000,0.0113853828,183.4000000000,2.7000000000,,,,,,,,,,
annual_industry_path,2005.0000000000,M,professional_scientific,177110.0000000000,0.0285610203,169.6000000000,5.9000000000,,,,,,,,,,
annual_industry_path,2005.0000000000,N,support_services,191679.0000000000,0.0309104388,180.4000000000,8.5000000000,,,,,,,,,,
annual_industry_path,2005.0000000000,Q,health_social,233020.0000000000,0.0375771495,173.2000000000,2.8000000000,,,,,,,,,,
annual_industry_path,2005.0000000000,R,arts_recreation,44705.0000000000,0.0072091944,180.9000000000,3.6000000000,,,,,,,,,,
annual_industry_path,2005.0000000000,S,other_services,88431.0000000000,0.0142605137,196.6000000000,2.9000000000,,,,,,,,,,
annual_industry_path,2006.0000000000,B,mining,5335.0000000000,0.0008371171,178.5000000000,4.2000000000,,,,,,,,,,
annual_industry_path,2006.0000000000,C,manufacturing,2510432.0000000000,0.3939129426,170.0000000000,17.3000000000,,,,,,,,,,
annual_industry_path,2006.0000000000,D,electricity_gas,27392.0000000000,0.0042980903,167.2000000000,4.4000000000,,,,,,,,,,
annual_industry_path,2006.0000000000,E,water_waste,22674.0000000000,0.0035577869,175.9000000000,8.0000000000,,,,,,,,,,
annual_industry_path,2006.0000000000,F,construction,412718.0000000000,0.0647597552,173.1000000000,5.0000000000,,,,,,,,,,
annual_industry_path,2006.0000000000,G,wholesale_retail,1486834.0000000000,0.2332997493,172.7000000000,2.6000000000,,,,,,,,,,
annual_industry_path,2006.0000000000,H,transportation_storage,260836.0000000000,0.0409278866,172.7000000000,7.2000000000,,,,,,,,,,
annual_industry_path,2006.0000000000,I,accommodation_food,238301.0000000000,0.0373919103,172.4000000000,1.2000000000,,,,,,,,,,
annual_industry_path,2006.0000000000,J,information_communication,167595.0000000000,0.0262974020,165.0000000000,2.5000000000,,,,,,,,,,
annual_industry_path,2006.0000000000,K,finance_insurance,366669.0000000000,0.0575341873,165.0000000000,3.6000000000,,,,,,,,,,
annual_industry_path,2006.0000000000,L,real_estate,76624.0000000000,0.0120231041,179.7000000000,2.9000000000,,,,,,,,,,
annual_industry_path,2006.0000000000,M,professional_scientific,183788.0000000000,0.0288382525,169.3000000000,5.6000000000,,,,,,,,,,
annual_industry_path,2006.0000000000,N,support_services,226534.0000000000,0.0355455454,183.0000000000,8.9000000000,,,,,,,,,,
annual_industry_path,2006.0000000000,Q,health_social,249090.0000000000,0.0390848168,172.6000000000,2.7000000000,,,,,,,,,,
annual_industry_path,2006.0000000000,R,arts_recreation,50175.0000000000,0.0078729804,183.2000000000,3.1000000000,,,,,,,,,,
annual_industry_path,2006.0000000000,S,other_services,88066.0000000000,0.0138184732,199.2000000000,2.0000000000,,,,,,,,,,
annual_industry_path,2007.0000000000,B,mining,4883.0000000000,0.0007483813,179.1000000000,4.9000000000,,,,,,,,,,
annual_industry_path,2007.0000000000,C,manufacturing,2541534.0000000000,0.3895221104,170.0000000000,17.4000000000,,,,,,,,,,
annual_industry_path,2007.0000000000,D,electricity_gas,27755.0000000000,0.0042538035,166.9000000000,4.4000000000,,,,,,,,,,
annual_industry_path,2007.0000000000,E,water_waste,24918.0000000000,0.0038189975,178.5000000000,6.7000000000,,,,,,,,,,
annual_industry_path,2007.0000000000,F,construction,424717.0000000000,0.0650932319,171.5000000000,5.4000000000,,,,,,,,,,
annual_industry_path,2007.0000000000,G,wholesale_retail,1493441.0000000000,0.2288886515,172.1000000000,2.7000000000,,,,,,,,,,
annual_industry_path,2007.0000000000,H,transportation_storage,263215.0000000000,0.0403410154,172.2000000000,7.2000000000,,,,,,,,,,
annual_industry_path,2007.0000000000,I,accommodation_food,255789.0000000000,0.0392028873,171.1000000000,1.4000000000,,,,,,,,,,
annual_industry_path,2007.0000000000,J,information_communication,166450.0000000000,0.0255105599,165.7000000000,2.4000000000,,,,,,,,,,
annual_industry_path,2007.0000000000,K,finance_insurance,371222.0000000000,0.0568944491,163.9000000000,3.2000000000,,,,,,,,,,
annual_industry_path,2007.0000000000,L,real_estate,81981.0000000000,0.0125646213,175.2000000000,2.7000000000,,,,,,,,,,
annual_industry_path,2007.0000000000,M,professional_scientific,194259.0000000000,0.0297726395,169.4000000000,5.9000000000,,,,,,,,,,
annual_industry_path,2007.0000000000,N,support_services,271603.0000000000,0.0416265821,180.9000000000,7.7000000000,,,,,,,,,,
annual_industry_path,2007.0000000000,Q,health_social,261253.0000000000,0.0400403142,172.2000000000,2.9000000000,,,,,,,,,,
annual_industry_path,2007.0000000000,R,arts_recreation,54980.0000000000,0.0084263778,181.5000000000,3.2000000000,,,,,,,,,,
annual_industry_path,2007.0000000000,S,other_services,86749.0000000000,0.0132953773,199.8000000000,1.7000000000,,,,,,,,,,
annual_industry_path,2008.0000000000,B,mining,4761.0000000000,0.0007177268,179.7000000000,4.5000000000,,,,,,,,,,
annual_industry_path,2008.0000000000,C,manufacturing,2557874.0000000000,0.3856027707,169.4000000000,15.3000000000,,,,,,,,,,
annual_industry_path,2008.0000000000,D,electricity_gas,27869.0000000000,0.0042012873,168.2000000000,4.5000000000,,,,,,,,,,
annual_industry_path,2008.0000000000,E,water_waste,25884.0000000000,0.0039020460,180.0000000000,6.5000000000,,,,,,,,,,
annual_industry_path,2008.0000000000,F,construction,428900.0000000000,0.0646572225,170.8000000000,5.6000000000,,,,,,,,,,
annual_industry_path,2008.0000000000,G,wholesale_retail,1502408.0000000000,0.2264899239,173.4000000000,2.5000000000,,,,,,,,,,
annual_industry_path,2008.0000000000,H,transportation_storage,260849.0000000000,0.0393233197,172.1000000000,7.0000000000,,,,,,,,,,
annual_industry_path,2008.0000000000,I,accommodation_food,274911.0000000000,0.0414431842,170.5000000000,1.8000000000,,,,,,,,,,
annual_industry_path,2008.0000000000,J,information_communication,171072.0000000000,0.0257893224,166.8000000000,2.6000000000,,,,,,,,,,
annual_industry_path,2008.0000000000,K,finance_insurance,374415.0000000000,0.0564435392,164.4000000000,3.1000000000,,,,,,,,,,
annual_industry_path,2008.0000000000,L,real_estate,84084.0000000000,0.0126757703,178.4000000000,1.9000000000,,,,,,,,,,
annual_industry_path,2008.0000000000,M,professional_scientific,203679.0000000000,0.0307048693,170.9000000000,5.3000000000,,,,,,,,,,
annual_industry_path,2008.0000000000,N,support_services,303080.0000000000,0.0456896969,180.5000000000,7.6000000000,,,,,,,,,,
annual_industry_path,2008.0000000000,Q,health_social,272896.0000000000,0.0411394204,171.8000000000,2.6000000000,,,,,,,,,,
annual_industry_path,2008.0000000000,R,arts_recreation,55417.0000000000,0.0083541835,179.6000000000,1.8000000000,,,,,,,,,,
annual_industry_path,2008.0000000000,S,other_services,85344.0000000000,0.0128657169,197.8000000000,2.1000000000,,,,,,,,,,
annual_industry_path,2009.0000000000,B,mining,4383.0000000000,0.0006851645,178.3000000000,3.8000000000,,,,,,,,,,
annual_industry_path,2009.0000000000,C,manufacturing,2396041.0000000000,0.3745567456,167.7000000000,11.5000000000,,,,,,,,,,
annual_industry_path,2009.0000000000,D,electricity_gas,28393.0000000000,0.0044384840,168.1000000000,4.3000000000,,,,,,,,,,
annual_industry_path,2009.0000000000,E,water_waste,25389.0000000000,0.0039688892,177.9000000000,5.0000000000,,,,,,,,,,
annual_industry_path,2009.0000000000,F,construction,419890.0000000000,0.0656385395,169.8000000000,5.1000000000,,,,,,,,,,
annual_industry_path,2009.0000000000,G,wholesale_retail,1447496.0000000000,0.2262771760,173.9000000000,2.0000000000,,,,,,,,,,
annual_industry_path,2009.0000000000,H,transportation_storage,253484.0000000000,0.0396254247,174.3000000000,6.1000000000,,,,,,,,,,
annual_industry_path,2009.0000000000,I,accommodation_food,282880.0000000000,0.0442207008,166.6000000000,3.0000000000,,,,,,,,,,
annual_industry_path,2009.0000000000,J,information_communication,170998.0000000000,0.0267309509,166.8000000000,2.2000000000,,,,,,,,,,
annual_industry_path,2009.0000000000,K,finance_insurance,359704.0000000000,0.0562300727,165.2000000000,2.9000000000,,,,,,,,,,
annual_industry_path,2009.0000000000,L,real_estate,81160.0000000000,0.0126871892,180.0000000000,1.7000000000,,,,,,,,,,
annual_industry_path,2009.0000000000,M,professional_scientific,206745.0000000000,0.0323190356,169.5000000000,4.3000000000,,,,,,,,,,
annual_industry_path,2009.0000000000,N,support_services,299974.0000000000,0.0468928892,180.4000000000,7.4000000000,,,,,,,,,,
annual_industry_path,2009.0000000000,Q,health_social,283566.0000000000,0.0443279385,171.0000000000,2.7000000000,,,,,,,,,,
annual_industry_path,2009.0000000000,R,arts_recreation,54437.0000000000,0.0085097649,182.9000000000,1.2000000000,,,,,,,,,,
annual_industry_path,2009.0000000000,S,other_services,82464.0000000000,0.0128910346,193.7000000000,1.4000000000,,,,,,,,,,
annual_industry_path,2010.0000000000,B,mining,4282.0000000000,0.0006465544,180.7000000000,4.3000000000,,,,,,,,,,
annual_industry_path,2010.0000000000,C,manufacturing,2496090.0000000000,0.3768935159,171.6000000000,17.5000000000,,,,,,,,,,
annual_industry_path,2010.0000000000,D,electricity_gas,28541.0000000000,0.0043095072,168.9000000000,4.4000000000,,,,,,,,,,
annual_industry_path,2010.0000000000,E,water_waste,26178.0000000000,0.0039527094,177.4000000000,5.1000000000,,,,,,,,,,
annual_industry_path,2010.0000000000,F,construction,436377.0000000000,0.0658901169,172.3000000000,4.8000000000,,,,,,,,,,
annual_industry_path,2010.0000000000,G,wholesale_retail,1484215.0000000000,0.2241069071,173.7000000000,2.5000000000,,,,,,,,,,
annual_industry_path,2010.0000000000,H,transportation_storage,256734.0000000000,0.0387651807,173.9000000000,7.8000000000,,,,,,,,,,
annual_industry_path,2010.0000000000,I,accommodation_food,300501.0000000000,0.0453737159,168.9000000000,2.7000000000,,,,,,,,,,
annual_industry_path,2010.0000000000,J,information_communication,173933.0000000000,0.0262627629,167.7000000000,2.3000000000,,,,,,,,,,
annual_industry_path,2010.0000000000,K,finance_insurance,356578.0000000000,0.0538409817,166.2000000000,2.6000000000,,,,,,,,,,
annual_industry_path,2010.0000000000,L,real_estate,87905.0000000000,0.0132730889,178.2000000000,2.1000000000,,,,,,,,,,
annual_industry_path,2010.0000000000,M,professional_scientific,217886.0000000000,0.0328993829,169.8000000000,5.1000000000,,,,,,,,,,
annual_industry_path,2010.0000000000,N,support_services,320967.0000000000,0.0484639501,182.8000000000,9.4000000000,,,,,,,,,,
annual_industry_path,2010.0000000000,Q,health_social,291065.0000000000,0.0439489406,172.5000000000,2.5000000000,,,,,,,,,,
annual_industry_path,2010.0000000000,R,arts_recreation,57697.0000000000,0.0087118754,179.6000000000,1.5000000000,,,,,,,,,,
annual_industry_path,2010.0000000000,S,other_services,83850.0000000000,0.0126608100,193.7000000000,2.2000000000,,,,,,,,,,
annual_industry_path,2011.0000000000,B,mining,4176.0000000000,0.0006089395,177.4000000000,4.1000000000,,,,,,,,,,
annual_industry_path,2011.0000000000,C,manufacturing,2595550.0000000000,0.3784801126,169.3000000000,16.0000000000,,,,,,,,,,
annual_industry_path,2011.0000000000,D,electricity_gas,28607.0000000000,0.0041714398,166.3000000000,4.3000000000,,,,,,,,,,
annual_industry_path,2011.0000000000,E,water_waste,26262.0000000000,0.0038294946,173.9000000000,4.9000000000,,,,,,,,,,
annual_industry_path,2011.0000000000,F,construction,444954.0000000000,0.0648826800,172.4000000000,5.8000000000,,,,,,,,,,
annual_industry_path,2011.0000000000,G,wholesale_retail,1530126.0000000000,0.2231212116,171.4000000000,2.6000000000,,,,,,,,,,
