composition,start_year,end_year,monthly_log_growth_percent,hourly_log_growth_percent,hours_accounting_gap_percentage_points,monthly_level_growth_percent,hourly_level_growth_percent
regular,2000,2024,4.6110246644,15.5585493328,10.9475246684,4.7189853760,16.8341817228
total,2000,2024,11.1084563875,21.8075634767,10.6991070892,11.7489402093,24.3681129594
