,,"表 1-1 主要經濟指標",,,,,,,,"Table 1-1 Major Economic Indicators",,,,,
,,"經濟成長率/(實質) (％)",,"平均每人國內生產毛額/　　　  (美元)",,,"貿易值",,"Value of foreign trade","工業生產指數/(110年 = 100)",,"製造業勞動生產力指數/(110年 = 100) (註)",,"製造業單位產出勞動成本指數/(110年 = 100) (註)",
"年                別",,,,,,,,,,,,,,,
,,,"較上年(同期)/增減百分點",,"對上年(同期)/　  變動率",,"出口  (百萬美元)",,"進口  (百萬美元)",,"對上年(同期)/　  變動率",,"對上年(同期)/　  變動率",,"對上年(同期)/　  變動率"
,,,,,,,,,,,,"Indexes of labor/productivity of/manufacturing//(2021=100)/(Remark)",,"Indexes of unit/labor costs of/manufacturing//(2021=100)/(Remark)",
,,"Economic/  growth/    rate//　 (％)","Per capita/Gross domestic/     product//　　(US$)",,,,"對上年(同期)/　  變動率",,"對上年(同期)/　  變動率","Indexes of/industrial/production//(2021=100)",,,,,
,,,"Percentage/point change/from last/period(％)",,"Percent / change from/last period(％)",,,,,,,,,,
,,,,,"Exports/(US $  Million)",,"Percent / change from/last period(％)","Imports/(US $  Million)","Percent/change from/last period(％)",,"Percent/change from/last period(％)",,"Percent/change from/last period(％)",,"Percent/change from/last period(％)"
,"Year",,,,,,,,,,,,,,
"85年",1996,6.18,-0.32,"13,641",3.98,"117,581",3.74,"102,922",-1.05,30.19,"--",30.14,5.24,160.21,-0.65
"86年",1997,6.05,-0.13,"14,020",2.78,"124,170",5.6,"114,955",11.69,32.34,7.12,31.81,5.54,158.28,-1.2
"87年",1998,4.2,-1.85,"12,820",-8.56,"112,595",-9.32,"105,230",-8.46,33.47,3.49,33.48,5.25,158,-0.18
"88年",1999,6.73,2.53,"13,804",7.68,"123,733",9.89,"111,196",5.67,35.94,7.38,35.73,6.72,152.7,-3.35
"89年",2000,6.31,-0.42,"14,908",8,"151,950",22.8,"140,732",26.56,38.72,7.74,37.82,5.85,149.14,-2.33
"90年",2001,-1.4,-7.71,"13,397",-10.14,"126,609",-16.68,"109,586",-22.13,35.51,-8.29,38.93,2.93,154.36,3.5
"91年",2002,5.48,6.88,"13,686",2.16,"135,770",7.24,"115,113",5.04,38.53,8.5,42.27,8.58,139.92,-9.35
"92年",2003,4.22,-1.26,"14,066",2.78,"151,334",11.46,"130,244",13.14,42.03,9.08,45.13,6.77,134.46,-3.9
"93年",2004,6.95,2.73,"15,317",8.89,"183,631",21.34,"171,547",31.71,45.99,9.42,47.27,4.74,130.36,-3.05
"94年",2005,5.38,-1.57,"16,456",7.44,"199,753",8.78,"185,430",8.09,47.43,3.13,48.95,3.55,131.14,0.6
"95年",2006,5.77,0.39,"16,934",2.9,"225,904",13.09,"206,442",11.33,49.55,4.47,50.95,4.09,128.65,-1.9
"96年",2007,6.85,1.08,"17,757",4.86,"248,670",10.08,"222,982",8.01,53.51,7.99,54.62,7.2,122.38,-4.87
"97年",2008,0.8,-6.05,"18,081",1.82,"257,755",3.65,"244,197",9.51,53.01,-0.93,54.55,-0.13,124.56,1.78
"98年",2009,-1.61,-2.41,"16,933",-6.35,"205,202",-20.39,"177,133",-27.46,48.97,-7.62,55.16,1.12,115.83,-7.01
"99年",2010,10.25,11.86,"19,197",13.37,"277,352",35.16,"255,746",44.38,62.31,27.24,65.05,17.93,101.72,-12.18
"100年",2011,3.67,-6.58,"20,866",8.69,"312,182",12.56,"287,316",12.34,63.78,2.36,65.69,0.98,106.17,4.37
"101年",2012,2.22,-1.45,"21,295",2.06,"305,315",-2.2,"276,466",-3.78,64.39,0.96,66,0.47,108.09,1.81
"102年",2013,2.48,0.26,"21,973",3.18,"310,866",1.82,"277,384",0.33,66.92,3.93,68.13,3.23,105.54,-2.36
"103年",2014,4.72,2.24,"22,874",4.1,"319,413",2.75,"281,096",1.34,71.94,7.5,71.6,5.09,103.84,-1.61
"104年",2015,1.47,-3.25,"22,780",-0.41,"284,434",-10.95,"236,380",-15.91,71.13,-1.13,71.05,-0.77,110.73,6.64
"105年",2016,2.17,0.7,"23,091",1.37,"279,175",-1.85,"229,199",-3.04,73.14,2.83,75.49,6.25,109.53,-1.08
"106年",2017,3.66,1.49,"25,121",8.79,"315,487",13.01,"257,200",12.22,76.79,4.99,78.02,3.35,109.75,0.2
"107年",2018,2.91,-0.75,"25,901",3.1,"334,007",5.87,"284,792",10.73,79.38,3.37,79.37,1.73,113.32,3.25
"108年",2019,3.06,0.15,"25,998",0.37,"329,157",-1.45,"285,651",0.3,80.14,0.96,80.07,0.88,115.55,1.97
"109年",2020,3.42,0.36,"28,705",10.41,"345,126",4.85,"286,148",0.17,87.16,8.76,87.96,9.85,106.96,-7.43
"110年",2021,6.72,3.3,"33,111",15.35,"446,371",29.34,"381,958",33.48,100,14.73,100,13.69,100,-6.51
"111年",2022,2.68,-4.04,"32,827",-0.86,"479,415",7.4,"428,083",12.08,98.16,-1.84,98.12,-1.88,107.24,7.24
"112年",2023,1.08,-1.6,"32,444",-1.17,"432,420",-9.8,"351,632",-17.86,85.93,-12.46,86.45,-11.89,120.2,12.09
"113年",2024,5.27,4.19,"34,238",5.53,"474,925",9.83,"394,350",12.15,96.14,11.88,96.32,11.42,111.41,-7.31
"114年",2025,"r    8.76",3.49,"r   39,515",15.41,"639,983",34.75,"483,543",22.62,113.76,18.33,115.47,19.88,98.63,-11.47
"資料來源：","行政院主計總處、財政部、經濟部及勞動部。",,,,,,,"Source：","Directorate-General of Budget, Accounting and Statistics, Ministry of Economic Affairs, Ministry of Finance and Ministry of /Labor.",,,,,,
"說　　明：","工業及服務業與服務業部門統計結果涵蓋範圍自98年1月起增加「教育業之教育輔助業及其他教育業」，/108年1月起增加 「研究發展服務業」、「教育業之學前教育」及「社會工作服務業」。",,,,,,,,,,,,,,
,,,,,,,,"Note：","Both Industry & Services and Services Sectors statistics has covered educational support activities & other education in Education /Industry since January 2009, and has covered Scientific Research & Development, Pre-primary Education in Education Industry, /and Social Work Activities since January 2019.",,,,,,
"附　　註：","不含金門縣及連江縣。",,,,,,,,,,,,,,
,,,,,,,,"Remark：","Series data exclude Kinmen County and Lienchiang County.",,,,,,

,,"表 1-1 主要經濟指標(續1)",,,,,,,,"Table 1-1 Major Economic Indicators(Cont.1)",,,,,,
,,"消費者物價/指數年增率/(％) (註)",,"最低工資 (元)/(期底)/Minimum wage (N.T.$)/(End of year and month)","工業及服務業每人/每月總薪資(元) (註)",,"工業及服務業每人/每月經常性薪資(元) (註)",,"製造業每人/每月總薪資(元) (註)","製造業每人/每月經常性薪資(元) (註)",,,"工業及服務業每人/每月總工時(小時) (註)",,"工業及服務業每人/每月正常工時(小時) (註)",
"年                別",,,,,,,,,,,,,,,,
,,"Percent/change from/last period/about/consumer/price index/(％) (Remark)",,,"Average/monthly/earnings of/industry/and service/(N.T.$)/(Remark)","對上年/(同期)/變動率","Average/monthly/regular/earnings/of industry/and service/(N.T.$)/(Remark)","對上年/(同期)/變動率","Average/monthly/earnings of/manufacturing/(N.T.$)/(Remark)","對上年/(同期)/變動率Average/monthly/regular/earnings of/manufacturing/(N.T.$)/(Remark)",,"對上年/(同期)/變動率","Average/monthly/working hours/of industry/and service/(hour)/(Remark)","對上年/(同期)/變動率","Average/monthly regular/of working hours/of industry/and service/(hour)/(Remark)","對上年/(同期)/變動率"
,,,,"月薪/monthly/wage時薪/hourly/wage",,,,,,,,,,,,
,,,,,,"Percent/change/from last/period(％)",,"Percent/change/from last/period(％)",,,,,,,,
,,,,,,,,,,"Percent/change from/last period(％)",,"Percent/change from/last period(％)",,"Percent/change from/last period(％)",,"Percent/change from/last period(％)"
,"Year",,,,,,,,,,,,,,,
"85年",1996,3.08,"15,360",64,"36,655",3.68,"29,722",4.74,"33,839",4.14,"27,021",3.97,193.4,-0.46,183.9,-0.38
"86年",1997,0.9,"15,840",66,"38,435",4.86,"30,930",4.06,"35,408",4.64,"28,103",4,193.9,0.26,183.8,-0.05
"87年",1998,1.69,"15,840",66,"39,603",3.04,"31,928",3.23,"36,438",2.91,"28,931",2.95,190.2,-1.91,180.9,-1.58
"88年",1999,0.17,"15,840",66,"40,781",2.97,"33,019",3.42,"37,746",3.59,"29,937",3.48,190.2,0,180.4,-0.28
"89年",2000,1.25,"15,840",66,"41,831",2.57,"33,926",2.75,"38,922",3.12,"30,893",3.19,190.1,-0.05,180.2,-0.11
"90年",2001,0,"15,840",66,"41,952",0.29,"34,480",1.63,"38,420",-1.29,"31,308",1.34,180.4,-5.1,171.8,-4.66
"91年",2002,-0.2,"15,840",66,"41,533",-1,"34,746",0.77,"38,444",0.06,"31,539",0.74,181.4,0.55,172.5,0.41
"92年",2003,-0.28,"15,840",66,"42,068",1.29,"34,804",0.17,"39,558",2.9,"31,944",1.28,181.3,-0.06,172.1,-0.23
"93年",2004,1.61,"15,840",66,"42,684",1.46,"35,096",0.84,"40,666",2.8,"32,471",1.65,183.5,1.21,173.5,0.81
"94年",2005,2.31,"15,840",66,"43,162",1.12,"35,382",0.81,"41,868",2.96,"33,024",1.7,181.9,-0.87,172.4,-0.63
"95年",2006,0.6,"15,840",66,"43,492",0.76,"35,725",0.97,"42,403",1.28,"33,622",1.81,180.9,-0.55,171.8,-0.35
"96年",2007,1.79,"17,280",95,"44,411",2.11,"36,318",1.66,"43,240",1.97,"34,076",1.35,180.4,-0.28,171.4,-0.23
"97年",2008,3.54,"17,280",95,"44,419",0.02,"36,384",0.18,"43,297",0.13,"34,150",0.22,179.6,-0.44,171.5,0.06
"98年",2009,-0.88,"17,280",95,"42,300",-4.77,"35,624",-2.09,"39,525",-8.71,"32,536",-4.73,176.7,-1.61,170.4,-0.64
"99年",2010,0.97,"17,280",95,"44,647",5.55,"36,234",1.71,"43,152",9.18,"33,389",2.62,181.1,2.49,172.3,1.12
"100年",2011,1.42,"17,880",98,"45,963",2.95,"36,737",1.39,"44,603",3.36,"33,907",1.55,178.7,-1.33,170.3,-1.16
"101年",2012,1.93,"18,780",103,"46,075",0.24,"37,195",1.25,"45,318",1.6,"34,461",1.63,178.4,-0.17,170.4,0.06
"102年",2013,0.8,"19,047",109,"46,087",0.03,"37,557",0.97,"45,685",0.81,"34,850",1.13,177,-0.78,168.6,-1.06
"103年",2014,1.2,"19,273",115,"47,744",3.6,"38,220",1.77,"47,455",3.87,"35,374",1.5,177.9,0.51,169.3,0.42
"104年",2015,-0.31,"20,008",120,"48,956",2.54,"38,717",1.3,"49,374",4.04,"35,903",1.5,175.4,-1.41,167.1,-1.3
"105年",2016,1.4,"20,008",126,"49,257",0.61,"39,217",1.29,"49,969",1.21,"36,464",1.56,169.6,-3.31,161.1,-3.59
"106年",2017,0.62,"21,009",133,"50,634",2.8,"39,937",1.84,"51,853",3.77,"37,282",2.24,169.5,-0.06,161.6,0.31
"107年",2018,1.36,"22,000",140,"52,468",3.62,"40,949",2.53,"54,567",5.23,"38,208",2.48,169.4,-0.06,161.4,-0.12
"108年",2019,0.55,"23,100",150,"53,551",0,"41,700",0,"55,816",2.29,"38,994",2.06,168.8,0,161.1,0
"109年",2020,-0.23,"23,800",158,"54,278",1.36,"42,281",1.39,"56,538",1.29,"39,498",1.29,168.3,-0.3,161,-0.06
"110年",2021,1.97,"24,000",160,"56,127",3.41,"43,045",1.81,"60,545",7.09,"40,700",3.04,166.6,-1.01,158.7,-1.43
"111年",2022,2.95,"25,250",168,"58,042",3.41,"44,210",2.71,"63,324",4.59,"42,024",3.25,167.1,0.3,159.4,0.44
"112年",2023,2.49,"26,400",176,"58,420",0.65,"45,197",2.23,"62,492",-1.31,"42,995",2.31,168.3,0.72,160.3,0.56
"113年",2024,2.18,"27,470",183,"61,002",4.42,"46,450",2.77,"65,622",5.01,"44,306",3.05,169.2,0.53,160.7,0.25
"114年",2025,1.66,"28,590",190,"63,383",3.9,"47,885",3.09,"69,390",5.74,"45,850",3.48,168.9,-0.18,160.1,-0.37

,,"表 1-1 主要經濟指標(續完)",,,,,
,"Table 1-1 Major Economic Indicators(Cont. End)",,,,,,
"年                別",,"家庭戶數/(戶)/No. of/households/(Household)","平均每戶/就業人數/(人)/No. of/employed/persons per/household/(Person)","可支配所得/(元)/Disposable/income/(NT$)","消費支出/(元)/Consumption/expenditures/(NT$)","儲　　蓄/(元)/Saving/(NT$)","儲 蓄 率/(％)///////Saving rate"
,"Year",,,,,,
"85年",1996,"5,908,262",1.71,"826,378","614,435","211,943",25.65
"86年",1997,"6,104,309",1.69,"863,427","634,477","228,951",26.52
"87年",1998,"6,273,056",1.64,"873,175","646,343","226,831",25.98
